,time_id,road_id,segment,flow,speed,var_flow_8,var_speed_8,var_space_flow_8,var_space_speed_8,diff_flow_8,diff_speed_8,diff_kalman_flow,diff_kalman_speed,result_flow,is_crash
0,1,3,110,106,36,570.7,127.2,544.352381,140.8380952,29.75,19.75,9.62850396,0.32211573,0.0,0
1,1,4,107,182,20,93.7,10.7,291.8285714,908.6380952,6.5,5.25,0.9965816,-0.60341199,0.0,0
2,1,3,209,122,48,4.7,2.7,208.2380952,232.7428571,2.25,-2.25,-0.0960828,-1.55853123,0.0,0
3,1,2,107,176,67,141.3,4.8,1465.980952,90.63809524,-4.5,0.5,2.2590188,0.09991303,0.0,0
4,0,3,217,86,65,329.8,27.7,278.2666667,34.74285714,-0.75,2.75,-2.58328216,2.83221126,0.0,0
5,1,3,106,100,22,47.2,1.7,785.8285714,9.123809524,12.25,1.5,2.30539982,-7.68e-05,0.0,0
6,1,4,134,100,77,199.3,9.2,693.552381,516.8380952,-17.0,2.75,-4.8642329,1.73011575,0.0,0
7,1,2,107,158,16,90.7,6.7,1989.457143,6.495238095,-4.0,-4.75,0.1293899,0.37010425,0.0,0
8,1,4,133,130,19,433.2,1.3,1223.209524,740.8380952,-37.25,0.5,-19.1306657,-0.10565313,-130.8940285,0
9,1,3,110,93,68,55.5,0.7,225.2857143,2.028571429,2.5,-1.5,0.83573996,-0.07673595,0.0,0
10,1,3,216,63,15,108.3,17.3,442.8380952,270.4095238,-21.75,-5.75,-15.43779613,-0.07104962,-64.83874375,0
11,1,4,110,130,74,815.8,20.7,1105.171429,371.4,-28.25,5.25,-1.6005855,0.14217927,0.0,0
12,1,3,102,106,37,27.8,13.7,593.2095238,119.8571429,-9.25,-1.0,-3.0062452,0.28566932,0.0,0
13,1,4,110,166,19,589.7,7.7,1028.028571,53.98095238,45.25,6.0,13.100667,-0.33270344,0.0,0
14,0,6,107,117,74,209.2,3.2,257.5428571,4.780952381,-21.5,1.5,-36.4058031,0.39789374,0.0,0
15,1,4,132,93,47,316.5,181.7,865.6952381,562.552381,-21.25,-17.25,-13.5959618,-0.3559656,0.0,0
16,1,1,111,180,62,88.3,3.7,314.4555556,11.37777778,-0.75,2.75,-1.6950406,-2.48685577,0.0,0
17,1,2,109,266,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.9344798,-1.05542971,-100.5034108,0
18,1,1,112,100,19,959.3,14.0,1964.314286,17.97142857,-25.5,-2.5,-15.6174008,-0.60505415,-82.19684632,0
19,0,1,201,171,36,118.3,26.0,452.2666667,70.17777778,-3.25,6.25,-1.179642,0.15389356,0.0,0
20,0,2,111,140,45,164.8,27.7,1957.171429,71.20952381,-13.25,-4.0,-8.6514415,0.35339579,0.0,0
21,1,4,127,230,62,593.8,7.5,3194.638095,11.54285714,44.25,-5.0,28.4765118,-1.42234251,0.0,0
22,1,4,108,64,3,227.3,3.7,1653.114286,26.88571429,0.5,-2.75,-6.06167779,-0.019867293,-129.3157929,0
23,1,1,108,119,28,1056.3,33.8,2254.209524,98.06666667,-14.5,-4.25,-13.1320442,-0.76519147,-55.81118785,0
24,1,4,107,185,18,67.5,3.3,310.6952381,844.4285714,5.0,0.75,2.1628215,-0.70104271,0.0,0
25,1,4,110,65,80,20.5,2.7,212.4952381,1151.409524,2.5,-1.5,0.4687374,0.22771931,0.0,0
26,0,3,116,29,80,691.7,17.8,803.3142857,257.2666667,-39.0,8.25,-24.37941534,6.62587222,0.0,0
27,1,4,112,106,74,106.8,4.2,444.2380952,1102.266667,-15.5,2.25,-8.1250191,1.5589664,0.0,0
28,1,5,107,127,55,26.8,11.5,121.9809524,61.0952381,-1.75,6.25,38.98168195,2.82509417,0.0,0
29,0,2,203,130,14,119.5,1.0,1112.266667,226.4095238,16.25,-1.25,10.3069613,0.10488929,0.0,0
30,1,3,112,110,61,91.8,20.3,91.8,20.3,-18.0,9.25,-10.6834695,2.89459182,0.0,0
31,0,4,217,115,82,98.8,1.7,563.4952381,19.78095238,8.25,2.75,-124.5309172,0.77153705,0.0,0
32,1,1,108,158,72,7.3,2.5,2154.780952,72.82857143,-3.25,0.0,-1.2178961,0.00575853,0.0,0
33,1,5,107,86,77,56.3,6.7,72.4,13.57142857,12.0,-2.75,40.20265794,-1.17579819,0.0,0
34,0,2,108,115,72,32.0,139.0,830.8285714,683.3142857,-11.25,6.25,-3.7660665,-0.06798036,0.0,1
35,1,4,110,56,81,13.7,0.3,478.6952381,1007.571429,-6.5,0.5,-2.39994445,0.00649714,0.0,0
36,1,3,110,94,24,57.5,43.7,903.6380952,25.4952381,-5.0,-3.5,-2.17980222,-0.23856573,0.0,0
37,1,4,210,126,77,239.2,2.7,1401.6,23.57142857,-21.5,2.25,-97.3127247,0.3085507,0.0,0
38,1,2,106,110,27,34.2,6.5,1838.695238,33.45714286,7.25,3.75,5.1479916,0.44399063,0.0,0
39,1,1,112,159,38,453.7,76.5,2589.92381,76.95238095,24.0,18.75,14.9720982,1.72313202,0.0,0
40,1,3,209,109,49,6.5,1.7,74.83809524,24.26666667,-3.75,0.25,-0.9600441,0.27891499,0.0,0
41,1,4,109,229,59,248.0,1.8,771.8380952,23.25714286,18.75,-1.75,9.7709875,0.29477017,0.0,0
42,0,3,219,99,69,57.8,1.3,166.552381,2.780952381,12.0,2.0,11.76232451,0.76712976,0.0,0
43,1,3,110,105,60,47.8,16.7,245.0,7.952380952,-3.0,-6.0,-1.0339876,-0.37789017,0.0,0
44,1,3,228,46,86,12.7,283.3,1160.714286,877.4095238,-1.5,14.5,-3.47431325,-0.11104729,0.0,1
45,1,3,214,143,64,186.0,6.2,713.1238095,301.4952381,-8.75,0.25,-5.254074,0.24968325,0.0,0
46,1,2,110,187,16,126.3,0.8,860.0285714,504.2666667,22.0,1.75,6.5695676,-0.05388273,0.0,0
47,0,1,214,108,50,426.0,20.8,1869.238095,95.31428571,-12.5,-0.75,-9.8918363,-1.54331974,0.0,0
48,1,3,217,124,42,42.8,4.3,296.0952381,158.6952381,9.25,4.25,5.0886735,1.60333721,0.0,0
49,1,2,217,149,28,758.5,5.7,1053.4,447.2666667,-61.25,2.75,-22.8312964,4.28e-05,-121.495113,1
50,1,4,227,136,74,469.8,12.7,535.2380952,9.20952381,-38.0,4.75,-83.3339944,0.96675776,0.0,0
51,1,4,224,179,63,117.7,2.8,898.6380952,41.06666667,15.25,-3.0,-42.20845,-0.74646616,0.0,0
52,1,3,227,49,7,73.7,2.2,101.7809524,1077.92381,5.25,0.25,-4.85858714,0.390778713,0.0,0
53,1,3,106,108,29,0.8,1.8,729.6952381,16.26666667,0.5,-0.75,-0.0447841,0.00243153,0.0,0
54,1,3,109,140,66,18.8,1.7,823.7809524,26.74285714,9.5,-1.0,4.9597768,-0.04913213,0.0,0
55,1,1,112,143,66,395.7,12.5,4045.409524,149.352381,3.5,1.25,-2.8574217,0.64763674,0.0,0
56,1,4,207,120,63,968.0,4.3,1379.542857,128.2095238,-15.0,-2.0,40.37346372,0.0,0.0,0
57,0,3,108,8,71,47.5,0.0,117.9714286,41.66666667,-6.25,0.0,-3.01050702,0.0,0.0,0
58,1,2,108,177,76,104.3,2.0,1813.266667,12.55238095,-4.25,2.5,-0.506822,-0.33637463,0.0,0
