"segment","starttime","endtime"
21101,"15:57:49","16:05:07"
21104,"08:06:38","08:09:16"
21106,"08:52:38","08:55:18"
21107,"12:31:26","12:42:48"
21108,"08:17:09","08:19:47"
21108,"14:37:02","14:44:29"
21109,"15:24:30","15:26:00"
21113,"14:42:46","14:55:30"
21116,"11:53:13","11:58:53"
21204,"15:21:05","15:24:53"
21208,"16:28:50","16:31:18"
21209,"15:25:25","15:34:38"
21210,"13:17:16","13:18:52"
22102,"11:34:03","11:35:39"
22102,"12:05:52","12:11:47"
22107,"15:20:57","15:29:17"
22107,"16:05:55","16:09:50"
22108,"22:39:03","22:50:54"
22110,"10:29:38","10:36:12"
22110,"11:31:12","11:32:40"
22110,"20:43:14","20:47:46"
22112,"11:38:27","11:44:08"
22113,"14:15:31","14:17:17"
22114,"14:42:31","14:47:26"
22116,"18:28:55","18:37:23"
22202,"06:40:48","06:42:18"
22207,"17:52:25","17:57:19"
22207,"18:08:09","18:11:35"
22210,"07:44:08","07:45:38"
22210,"13:55:06","14:04:16"
22210,"14:14:45","14:17:48"
22213,"18:42:16","18:48:18"
22214,"11:00:29","11:03:48"
22216,"13:30:43","13:33:59"
22217,"18:30:24","18:32:49"
22218,"21:01:36","21:12:21"
22218,"21:02:55","21:12:29"
23105,"08:55:38","09:03:18"
23106,"17:40:07","17:42:01"
23107,"15:50:51","15:53:52"
23111,"10:57:06","11:03:59"
23112,"19:21:46","19:23:50"
23114,"20:43:23","20:46:27"
23115,"20:27:45","20:42:14"
23120,"15:48:25","15:49:47"
23124,"19:05:28","19:06:57"
23125,"19:09:13","19:11:11"
23208,"15:22:16","15:24:14"
23215,"18:14:21","18:34:35"
23223,"15:05:14","15:14:18"
23228,"13:11:29","13:25:37"
23228,"19:07:40","19:24:02"
23233,"21:54:19","22:04:54"
24109,"08:57:16","09:51:22"
24109,"10:52:37","11:04:37"
24110,"18:51:47","19:01:14"
24111,"10:59:31","11:28:48"
24111,"11:24:00","11:39:38"
24111,"15:45:40","16:08:29"
24117,"19:25:36","19:29:07"
24119,"19:23:51","19:38:42"
24126,"11:44:19","11:56:18"
24133,"09:59:15","10:01:20"
24133,"11:00:16","11:10:46"
24133,"11:05:40","11:13:44"
24133,"14:12:43","14:27:16"
24133,"15:41:44","15:58:13"
24133,"16:06:07","16:09:59"
24133,"16:51:38","16:56:16"
24206,"14:48:20","14:55:21"
25202,"06:52:26","06:58:02"
26110,"15:53:02","15:56:23"
26111,"15:41:29","15:44:19"
